epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.981,0.62153,3.24973,1.1691,0.00364,1,0.46309,0.4265,0.40628,3.61921,0.93297,0.000319444,0.000319444,0.000319444
2,177.995,0.59392,2.72608,1.11205,0.62221,0.15549,0.47755,0.39612,0.54778,3.01327,1.08409,0.000620465,0.000620465,0.000620465
3,267.172,0.64693,2.30591,1.14742,0.34509,0.71535,0.55896,0.4445,0.72944,2.47728,1.27253,0.000888486,0.000888486,0.000888486
4,364.522,0.65522,2.09091,1.15973,0.36432,0.91747,0.76887,0.60357,0.70939,7.0425,1.30077,0.0008515,0.0008515,0.0008515
5,451.974,0.68611,1.87821,1.18479,0.41928,0.63889,0.55958,0.42591,0.83057,3.25665,1.35868,0.000802,0.000802,0.000802
6,550.97,0.65203,1.75456,1.12599,0.61284,0.90972,0.90156,0.73046,0.6481,2.52206,1.1497,0.0007525,0.0007525,0.0007525
7,653.907,0.60639,1.53078,1.08694,0.85086,0.72799,0.86809,0.72017,0.64292,1.70773,1.15953,0.000703,0.000703,0.000703
8,751.223,0.57537,1.42821,1.08115,0.9031,0.89647,0.94511,0.81563,0.57824,1.83507,1.04595,0.0006535,0.0006535,0.0006535
9,843.281,0.55017,1.36514,1.07329,0.90779,0.89628,0.96125,0.77609,0.62025,1.66648,1.10324,0.000604,0.000604,0.000604
10,961.8,0.5331,1.23639,1.03711,0.88757,0.90767,0.98461,0.84063,0.51249,1.43375,1.02892,0.0005545,0.0005545,0.0005545
11,1081.17,0.54622,1.66522,1.13664,0.8998,0.90307,0.97573,0.82033,0.59512,1.57043,1.10377,0.000505,0.000505,0.000505
12,1197.58,0.47807,1.53922,1.09817,0.93987,0.91613,0.98643,0.76789,0.76493,1.81629,1.26126,0.0004555,0.0004555,0.0004555
13,1316.64,0.46577,1.45564,1.07796,0.94286,0.89474,0.96818,0.84986,0.47263,1.36252,0.975,0.000406,0.000406,0.000406
14,1437.81,0.47272,1.27061,1.09608,0.89095,0.95335,0.97706,0.88433,0.4539,1.44057,0.96377,0.0003565,0.0003565,0.0003565
15,1566.49,0.45172,1.23011,1.05035,0.93881,0.90605,0.97525,0.85269,0.53389,1.31449,1.04975,0.000307,0.000307,0.000307
16,1688.75,0.39858,1.09135,0.99541,0.94658,0.92484,0.98138,0.8745,0.49365,1.19209,0.99074,0.0002575,0.0002575,0.0002575
17,1816.02,0.40307,1.07148,1.04391,0.95124,0.96485,0.99278,0.89544,0.46101,1.11144,0.95767,0.000208,0.000208,0.000208
18,1917.23,0.3582,1.04702,0.98231,0.95746,0.95888,0.99278,0.89088,0.48696,1.1034,0.97511,0.0001585,0.0001585,0.0001585
19,2016.45,0.34804,1.00308,0.96669,0.93217,0.98559,0.99278,0.87777,0.51767,1.09623,1.01512,0.000109,0.000109,0.000109
20,2115.46,0.35501,0.98812,0.97491,0.96086,0.96997,0.99278,0.88578,0.48877,1.08933,0.99134,5.95e-05,5.95e-05,5.95e-05
